description,Location,lat,long
23 Dartmouth,"(42.343687, -71.074081)",42.343687,-71.074081
24 Clarendon,"(42.344904, -71.07251)",42.344904,-71.07251
400 Stuart St @ Clarendon,"(42.34883727, -71.07417681)",42.34883727,-71.07417681
471 Columbus Ave,"(42.34326, -71.07838)",42.34326,-71.07838
51 Clarendon/corner Chandler,"(42.34634, -71.07312)",42.34634,-71.07312
53 Dartmouth,"(42.34446654, -71.07437808)",42.34446654,-71.07437808
564 Tremont st,"(42.34359885, -71.07214987)",42.34359885,-71.07214987
609 Tremont Street,"(42.34282746, -71.07388098)",42.34282746,-71.07388098
610 Tremont St.,"(42.34268047, -71.07385844)",42.34268047,-71.07385844
627 Tremont St,"(42.34253228, -71.07451491)",42.34253228,-71.07451491
659 Tremont St,"(42.34198461, -71.07515395)",42.34198461,-71.07515395
683 Tremont,"(42.34143247, -71.07657887)",42.34143247,-71.07657887
75 Dartmouth,"(42.345189, -71.07477)",42.345189,-71.07477
Boylston St (Lord and Taylor Entrance),"(42.3492027, -71.08031759)",42.3492027,-71.08031759
Columbus @ Chandler,"(42.34603, -71.07507)",42.34603,-71.07507
Columbus @ Claredon,"(42.3472534, -71.0735185)",42.3472534,-71.0735185
Columbus @ Clarendon,"(42.3471, -71.07368)",42.3471,-71.07368
Columbus @ Dartmouth st.,"(42.34604, -71.07515)",42.34604,-71.07515
Dartmouth St & Stuart St (SE Corner),"(42.34820802, -71.07628189)",42.34820802,-71.07628189
Huntington and Dartmouth St (Library),"(42.34932688, -71.07701842)",42.34932688,-71.07701842
Huntington at Blogden (Opposite from Boston Public Library near Mass Pike Entrance),"(42.34906712, -71.07752406)",42.34906712,-71.07752406
Huntington Ave & West Newtown Street,"(42.34537532, -71.08157627)",42.34537532,-71.08157627
Opposite 144 Dartmouth St @ Back Bay T-Station,"(42.34754691, -71.07594325)",42.34754691,-71.07594325
SE corner of West Canton and Columbus,"(42.34483487, -71.0763413)",42.34483487,-71.0763413
St James & Darmouth (Fairmont Hotel),"(42.34929014, -71.07679328)",42.34929014,-71.07679328
Stanhope St and Clarendon St (Across from Parking Garage),"(42.34812825, -71.07390013)",42.34812825,-71.07390013
Stuart St & Trinity St (Near Parking Garage),"(42.3486047, -71.0753806)",42.3486047,-71.0753806
West Newton & St Botolph,"(42.34481541, -71.08105375)",42.34481541,-71.08105375
